listing_id,body_type,color,interior_material,sunroof
20248594,Minivan,Red,Textile,False
19414616,Sedan,Brown,Textile,
20263270,Sedan,Black,Textile,False
20101904,Sedan,Black,Textile,False
19615445,Sedan,White,Leather,
19434969,Minivan,White,Textile,False
20122388,Sedan,Blue,Leather,
19830725,Sedan,Silver,Other,False
20142772,SUV / Crossover,Brown,Textile,False
18982084,Sedan,White,Textile,False
18715455,Sedan,Black,Other,
20272095,Sedan,White,Textile,False
19268130,Sedan,White,Textile,False
19500305,Sedan,Black,Leather,False
19210741,SUV / Crossover,Silver,Leather,
19806724,SUV / Crossover,Black,Textile,False
19479210,Hatchback,Silver,Leather,False
18323779,Sedan,Silver,Textile,False
20009365,SUV / Crossover,Gray,Leather,False
18633028,SUV / Crossover,White,Leather,
19962682,SUV / Crossover,Blue,Leather,
19792783,Sedan,White,Leatherette,False
20072280,Hatchback,Blue,Other,False
18877534,Sedan,Blue,Leather,False
20230362,Sedan,Black,Leather,
18337563,Van,Red,Textile,
19643683,Sedan,Maroon,Leather,False
19257657,Sedan,Gray,Leather,
18238353,Sedan,Black,Leather,
19478914,Hatchback,Green,Textile,False
17359983,Convertible,Blue,Leather,False
19759715,Sedan,Black,Leather,
19365869,SUV / Crossover,Black,Leather,
19942250,Sedan,Silver,Leather,
18904367,Sedan,White,Leather,False
19570403,Minivan,Blue,Velour,False
20114787,SUV / Crossover,White,Alcantara,False
19126955,SUV / Crossover,Black,Textile,False
20264648,Hatchback,Red,Leather,False
20078307,Sedan,White,Leather,False
19242135,SUV / Crossover,Black,Leather,
19411296,Sedan,White,Leather,False
20312510,SUV / Crossover,Gray,Leather,
20032753,SUV / Crossover,Blue,Leather,False
19920436,SUV / Crossover,Silver,Leather,
18823711,Sedan,Gray,Leather,
20213885,Hatchback,Maroon,Textile,False
19696568,Sedan,Gray,Leather,
19561986,SUV / Crossover,White,Leather,
20239778,Liftback,Black,Leather,
20313798,Sedan,Black,Leather,False
20317481,Hatchback,Silver,Textile,False
19567827,SUV / Crossover,White,Textile,False
20393361,Sedan,Silver,Textile,False
20062291,Sedan,Gray,Leather,False
19167469,Sedan,Gray,Leather,False
19686764,SUV / Crossover,Black,Textile,False
19953171,Sedan,Silver,Textile,False
20378670,Hatchback,Beige,Textile,False
20396762,Hatchback,Silver,Textile,False
20343978,Hatchback,Gray,Textile,False
19692726,Hatchback,Blue,Leather,
19768051,Minivan,Blue,Textile,False
19952738,SUV / Crossover,Black,Textile,False
17834860,Sedan,Black,Leather,
19612969,Coupe,Brown,Textile,False
20364566,SUV / Crossover,White,Leather,False
19735793,Hatchback,Gray,Textile,False
20043581,SUV / Crossover,Silver,Textile,False
18633904,Sedan,Black,Leather,
19940346,Sedan,White,Leather,
19259587,Sedan,White,Textile,False
19846019,SUV / Crossover,Red,Leather,
19964424,SUV / Crossover,Gray,Leather,False
19388603,SUV / Crossover,Gray,Leather,
19456396,Sedan,Black,Textile,False
18893759,Sedan,Black,Textile,False
18854893,Hatchback,Black,Textile,False
20224121,Minivan,Silver,Textile,False
20395413,Coupe,Black,Leather,False
19112206,Sedan,Silver,Leather,
19786534,Sedan,Brown,Textile,False
20159781,Sedan,Maroon,Other,False
19994504,Minivan,White,Leather,
18463905,Sedan,Black,Textile,False
20310978,SUV / Crossover,White,Textile,False
19390374,Minivan,Silver,Textile,False
19673434,SUV / Crossover,Black,Leather,
18028185,Sedan,Gray,Other,False
20218357,SUV / Crossover,Silver,Leather,
18814720,SUV / Crossover,Black,Leather,
20070368,SUV / Crossover,White,Leather,False
19149182,SUV / Crossover,White,Leather,False
19704595,SUV / Crossover,Black,Textile,False
20286938,SUV / Crossover,Gray,Alcantara,
20270723,SUV / Crossover,Black,Leather,
20252610,Sedan,Gray,Leather,False
19844212,Hatchback,Red,Textile,False
20184990,Sedan,Black,Textile,False
20236630,Sedan,Silver,Textile,False
19521502,Sedan,Black,Leather,False
20245137,SUV / Crossover,Gray,Textile,
20179404,SUV / Crossover,Black,Leather,
18845317,Sedan,White,Leatherette,False
19949768,Sedan,Blue,Leather,False
18908879,SUV / Crossover,Gray,Textile,
19900597,SUV / Crossover,White,Textile,False
20200216,Sedan,Black,Leather,False
19586847,SUV / Crossover,White,Textile,False
18587935,Sedan,Blue,Other,False
18751996,Minibus,Maroon,Textile,False
19665874,SUV / Crossover,Gray,Leather,
19571685,SUV / Crossover,Gray,Textile,False
18774277,Sedan,Blue,Textile,False
19476131,Van,Black,Textile,
20094354,Van,Beige,Textile,
16677891,SUV / Crossover,Gray,Leather,
18128572,Hatchback,Black,Leather,False
19998671,Hatchback,Black,Other,False
20167569,SUV / Crossover,Brown,Leather,False
20172745,Hatchback,White,Leather,False
20361776,Minivan,Red,Leather,
20352483,Minivan,Blue,Leather,False
19501710,Pickup,Silver,Other,False
19888025,SUV / Crossover,White,Leather,
20111451,Sedan,White,Leather,False
20086783,Sedan,Red,Leather,
20137472,Sedan,Blue,Other,False
19385111,Sedan,Silver,Textile,False
19921674,Sedan,Black,Leather,False
18896017,Convertible,Blue,Other,
20017187,Sedan,Black,Leather,
19541431,Sedan,White,Leather,
20236863,Sedan,Silver,Textile,
20180782,Hatchback,Black,Textile,False
18764272,Sedan,Blue,Other,False
20160274,SUV / Crossover,White,Leather,False
18265221,SUV / Crossover,Red,Other,False
19155321,SUV / Crossover,White,Textile,
20211062,Sedan,White,Textile,False
18709251,Sedan,Gray,Leather,False
20113265,Sedan,White,Leather,
20160203,SUV / Crossover,Silver,Leatherette,False
18579404,Minivan,Blue,Textile,False
17834794,Wagon,Red,Textile,False
19924530,Minivan,White,Textile,False
19957437,Sedan,Black,Textile,False
20288169,SUV / Crossover,Black,Textile,False
20350398,SUV / Crossover,Black,Leather,
18684350,SUV / Crossover,Red,Textile,False
19871711,Sedan,Black,Leather,False
19223168,Sedan,Blue,Textile,False
19866763,SUV / Crossover,Black,Leather,False
20029448,Sedan,Blue,Other,False
20029969,Coupe,Black,Textile,False
20313553,Minivan,Black,Other,False
20158271,Hatchback,Silver,Other,False
19699874,SUV / Crossover,Cyan,Leather,False
20186434,Sedan,White,Textile,False
20212096,Sedan,Silver,Other,
20246406,SUV / Crossover,Silver,Textile,False
18098623,Hatchback,Brown,Leather,
18229799,SUV / Crossover,Silver,Textile,False
19097571,Sedan,White,Leatherette,
18557894,Sedan,Blue,Velour,False
18332923,SUV / Crossover,Black,Leather,
19178005,Coupe,Black,Leather,
19170797,Minivan,White,Leatherette,
20273132,Wagon,Silver,Textile,False
19882107,Coupe,Black,Alcantara,False
20124084,Sedan,White,Leather,
20227377,Hatchback,Brown,Textile,False
20321425,Sedan,Black,Textile,
20109367,Sedan,Gray,Leather,
20352518,Sedan,White,Leather,
18775272,Hatchback,Black,Leather,
20174440,SUV / Crossover,White,Leather,
20287615,SUV / Crossover,Silver,Alcantara,False
20196550,Sedan,Red,Textile,False
20198373,Sedan,White,Textile,
20217754,Sedan,Blue,Leather,
20287520,SUV / Crossover,White,Alcantara,
18989044,Minivan,White,Textile,False
20066236,SUV / Crossover,White,Other,False
20287486,SUV / Crossover,White,Leather,
20085296,Sedan,Silver,Textile,False
19707606,SUV / Crossover,White,Leather,False
20100121,Sedan,Silver,Textile,False
20197404,Sedan,Black,Alcantara,False
19115471,Sedan,Brown,Leather,False
20187100,SUV / Crossover,Silver,Leather,
20336681,SUV / Crossover,Black,Other,
20395786,Sedan,Black,Leather,False
20370127,Sedan,Silver,Leather,
20234027,Minivan,Silver,Textile,False
15842190,Sedan,Black,Leather,False
20087568,Sedan,Gray,Leather,
18992115,Sedan,White,Other,
18539006,Wagon,Silver,Other,False
20226794,SUV / Crossover,Gray,Leatherette,
20135355,Sedan,Black,Textile,False
19726635,SUV / Crossover,Green,Textile,False
20231072,SUV / Crossover,Gray,Leather,False
